Motif,Cluster,Hits,Fisher_score,p_adjusted
mmu-miR-6940-5p,nucleus_positive,3.0,23.8433904548774,0.0005580534674735347
mmu-miR-12201-3p,nucleolus_negative,2.0,22.83116198421496,0.0001368494999274056
mmu-miR-20b-3p,nucleolus_negative,3.0,22.3123927949924,0.0010627225942794617
mmu-miR-7235-5p,ribosome_negative,3.0,22.03990433993916,0.0011908762662851458
mmu-miR-7080-5p,ER_negative,3.0,21.92107386165987,0.0012513994396221798
mmu-miR-6912-5p,cytoplasm_negative,3.0,21.30514893729937,0.0016167624185037296
mmu-miR-6928-3p,extracellular_positive,3.0,20.503960581552235,0.002251470390845522
mmu-miR-1954,nucleolus_negative,2.0,19.82929923448464,0.0005396748503245465
mmu-miR-6988-5p,chromatin_negative,3.0,19.268422860176997,0.003733526340658978
mmu-miR-3057-3p,cytoplasm_negative,2.0,18.26379789133924,0.0010958661899636254
mmu-miR-201-3p,nucleus_positive,2.0,17.658199305517766,0.0014390784801604289
mmu-miR-2136,nucleus_positive,2.0,14.692024419830584,0.005384513237348949
mmu-miR-6937-5p,extracellular_positive,2.0,13.05967905347843,0.010987843030998935
mmu-miR-7676-5p,mitochondrion_negative,1.0,6.467978925356498,0.03940000000000001
mmu-miR-7013-3p,mitochondrion_positive,1.0,6.247131290127752,0.044000000000000004
mmu-miR-6914-5p,ER_positive,1.0,6.197746064947009,0.04509999999999999
